Rosetta 3,,,,,,,,,,,,,,,,,,,,,,,
Sand_%,Silt_%,Clay_%,bulk_density_(g/cm3),th33,th1500,Code,theta_r,theta_s,log10_alpha_(1/cm),log10_n,log10_Ksat_(cm/d),K sat (cm/d),ksat (cm/s),,,,,,,,,,
48.63,40.93,10.44,1.62,-9.9,-9.9,3,0.06346219,0.342324533,-1.961092279,0.149980582,1.159348639,14.43273505,0.000167046,,,,,,,,,,
56.95,38.33,4.72,1.62,-9.9,-9.9,3,0.053930312,0.336165612,-1.848255963,0.166307033,1.428406954,26.81680006,0.00031038,,,,,,,,,,
64.34,35.66,0,1.62,-9.9,-9.9,3,0.047111442,0.331229932,-1.747457002,0.190605296,1.679799611,47.84092973,0.000553714,,,,,,,,,,
45.44,45.33,9.23,1.62,-9.9,-9.9,3,0.061482405,0.340471497,-2.00266019,0.154606263,1.173003792,14.89374082,0.000172381,,,,,,,,,,
79.18,20.82,0,1.62,-9.9,-9.9,3,0.046311036,0.336052112,-1.588514074,0.255389885,2.041779405,110.0979937,0.001274282,,,,,,,,,,
84.97,15.03,0,1.62,-9.9,-9.9,3,0.045967292,0.338475984,-1.532099857,0.318034352,2.292503892,196.111875,0.002269813,,,,,,,,,,
57.54,39.28,3.18,1.62,-9.9,-9.9,3,0.051667254,0.334224253,-1.837619988,0.171476118,1.486644076,30.66507816,0.00035492,,,,,,,,,,
86.12,13.88,0,1.62,-9.9,-9.9,3,0.045905524,0.338945013,-1.521212518,0.334831149,2.351111031,224.4455664,0.00259775,,,,,,,,,,
45.96,45.25,8.79,1.62,-9.9,-9.9,3,0.060717861,0.339954259,-1.995537066,0.155538131,1.191833528,15.55369319,0.00018002,,,,,,,,,,
61.86,38.14,0,1.62,-9.9,-9.9,3,0.047221772,0.330789855,-1.776698139,0.186661967,1.646297461,44.28916179,0.000512606,,,,,,,,,,
84.96,15.04,0,1.62,-9.9,-9.9,3,0.045967841,0.338471877,-1.53219505,0.31789535,2.292006396,195.8873522,0.002267215,,,,,,,,,,
62.28,28.15,9.56,1.62,-9.9,-9.9,3,0.06166311,0.344908507,-1.800372192,0.156659586,1.354374027,22.613825,0.000261734,,,,,,,,,,
60.94,33.66,5.4,1.62,-9.9,-9.9,3,0.054873375,0.338029726,-1.803053334,0.167206792,1.454895623,28.50333145,0.0003299,,,,,,,,,,
